experiment_name,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,af2_foldx_dG
SARS-CoV-2-BA.1.1-N_IL-12p70,SARS-CoV-2-BA.1.1-N,IL-12p70,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-12p70_relaxed_model_2_multimer_v3_pred_4.pdb,-31,1.80E-23,-4.67984
SARS-CoV-2-XBB-N_CCL19,SARS-CoV-2-XBB-N,CCL19,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL19_relaxed_model_1_multimer_v3_pred_2.pdb,-13.3,1.70E-10,-0.945916
SARS-CoV-2-BA.2-N_XCL1,SARS-CoV-2-BA.2-N,XCL1,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_XCL1_relaxed_model_3_multimer_v3_pred_0.pdb,-10.6,1.70E-08,-0.735479
OC43-N_IL-1alpha,OC43-N,IL-1alpha,./best_AF2_and_GDock/OC43-N_IL-1alpha_relaxed_model_2_multimer_v3_pred_0.pdb,-15.4,5.20E-12,-15.8319
SARS-CoV-2-BA.1.1-N_IL-10,SARS-CoV-2-BA.1.1-N,IL-10,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_IL-10_relaxed_model_3_multimer_v3_pred_0.pdb,-10.9,9.70E-09,2.28915
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL25,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL25,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL25_relaxed_model_4_multimer_v3_pred_3.pdb,-14.4,2.70E-11,-14.0369
BANAL-20-52-N_IL-35,BANAL-20-52-N,IL-35,./best_AF2_and_GDock/BANAL-20-52-N_IL-35_relaxed_model_5_multimer_v3_pred_0.pdb,-15,9.70E-12,-32.3158
SARS-CoV-2-BQ.1-N_IFNomega,SARS-CoV-2-BQ.1-N,IFNomega,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IFNomega_relaxed_model_2_multimer_v3_pred_2.pdb,-14.6,2.00E-11,-14.1358
SARS-CoV-2-B.1.351-N_CCL25,SARS-CoV-2-B.1.351-N,CCL25,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL25_relaxed_model_3_multimer_v3_pred_3.pdb,-13.5,1.20E-10,-12.0955
SARS-CoV-2-XBB-N_CCL1,SARS-CoV-2-XBB-N,CCL1,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL1_relaxed_model_5_multimer_v3_pred_3.pdb,-13.1,2.60E-10,-0.810814
SARS-CoV-2-P.1-N_IFNomega,SARS-CoV-2-P.1-N,IFNomega,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IFNomega_relaxed_model_1_multimer_v3_pred_0.pdb,-16.8,4.40E-13,-13.8508
SARS-CoV-2-P.1-N_CCL5,SARS-CoV-2-P.1-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL5_relaxed_model_3_multimer_v3_pred_3.pdb,-14.6,2.10E-11,-8.38127
SARS-CoV-N_CCL11,SARS-CoV-N,CCL11,./best_AF2_and_GDock/SARS-CoV-N_CCL11_relaxed_model_3_multimer_v3_pred_3.pdb,-11.7,2.50E-09,-5.87173
SARS-CoV-2-P.1-N_CCL21,SARS-CoV-2-P.1-N,CCL21,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL21_relaxed_model_4_multimer_v3_pred_4.pdb,-16.4,9.10E-13,5.42676
SARS-CoV-2-XBB-N_CCL5,SARS-CoV-2-XBB-N,CCL5,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL5_relaxed_model_3_multimer_v3_pred_4.pdb,-12.2,1.00E-09,-7.01387
SARS-CoV-2-P.1-N_CCL22,SARS-CoV-2-P.1-N,CCL22,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL22_relaxed_model_3_multimer_v3_pred_0.pdb,-10.3,3.00E-08,-3.75559
OC43-N_CXCL14,OC43-N,CXCL14,./best_AF2_and_GDock/OC43-N_CXCL14_relaxed_model_3_multimer_v3_pred_3.pdb,-12.6,5.60E-10,-17.4421
SARS-CoV-2-WA1-N_IFNgamma,SARS-CoV-2-WA1-N,IFNgamma,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IFNgamma_relaxed_model_1_multimer_v3_pred_1.pdb,-7,7.90E-06,-1.5395
SARS-CoV-2-BA.4-N_CCL20,SARS-CoV-2-BA.4-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL20_relaxed_model_3_multimer_v3_pred_2.pdb,-10.7,1.40E-08,-4.76594
SARS-CoV-2-XBB-N_IL-1beta,SARS-CoV-2-XBB-N,IL-1beta,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_IL-1beta_relaxed_model_3_multimer_v3_pred_1.pdb,-9.9,5.30E-08,-5.52471
SARS-CoV-2-WA1-N_CXCL9,SARS-CoV-2-WA1-N,CXCL9,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL9_relaxed_model_3_multimer_v3_pred_4.pdb,-10.7,1.50E-08,1.82532
SARS-CoV-2-P.1-N_IFNbeta,SARS-CoV-2-P.1-N,IFNbeta,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_IFNbeta_relaxed_model_2_multimer_v3_pred_4.pdb,-11.5,3.60E-09,-16.4803
SARS-CoV-2-B.1.1.7-N_CCL17,SARS-CoV-2-B.1.1.7-N,CCL17,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL17_relaxed_model_4_multimer_v3_pred_4.pdb,-14.2,3.70E-11,-5.92313
OC43-N_CXCL12alpha,OC43-N,CXCL12alpha,./best_AF2_and_GDock/OC43-N_CXCL12alpha_relaxed_model_2_multimer_v3_pred_2.pdb,-14.2,3.80E-11,-3.08592
RaTG13-N_CXCL6,RaTG13-N,CXCL6,./best_AF2_and_GDock/RaTG13-N_CXCL6_relaxed_model_3_multimer_v3_pred_3.pdb,-9.1,2.00E-07,-19.9528
OC43-N_CXCL5,OC43-N,CXCL5,./best_AF2_and_GDock/OC43-N_CXCL5_relaxed_model_2_multimer_v3_pred_0.pdb,-14.4,2.70E-11,-18.0514
SARS-CoV-2-BQ.1-N_CXCL11,SARS-CoV-2-BQ.1-N,CXCL11,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL11_relaxed_model_4_multimer_v3_pred_1.pdb,-13,2.70E-10,-20.6032
SARS-CoV-2-BQ.1-N_CXCL14,SARS-CoV-2-BQ.1-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CXCL14_relaxed_model_2_multimer_v3_pred_1.pdb,-9.4,1.20E-07,-4.51785
SARS-CoV-N_IL-23,SARS-CoV-N,IL-23,./best_AF2_and_GDock/SARS-CoV-N_IL-23_relaxed_model_1_multimer_v3_pred_1.pdb,-28.9,6.80E-22,-0.5138
RaTG13-N_IFNA2,RaTG13-N,IFNA2,./best_AF2_and_GDock/RaTG13-N_IFNA2_relaxed_model_1_multimer_v3_pred_4.pdb,-20.8,5.40E-16,-15.6575
SARS-CoV-2-BQ.1-N_IL-13,SARS-CoV-2-BQ.1-N,IL-13,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_IL-13_relaxed_model_3_multimer_v3_pred_0.pdb,-10.9,1.00E-08,-2.91037
SARS-CoV-2-B.1.351-N_CCL8,SARS-CoV-2-B.1.351-N,CCL8,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL8_relaxed_model_4_multimer_v3_pred_1.pdb,-14.8,1.50E-11,-0.40199
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL14,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL14_relaxed_model_3_multimer_v3_pred_0.pdb,-15.8,2.60E-12,-4.17209
SARS-CoV-2-BA.1.1-N_CXCL3,SARS-CoV-2-BA.1.1-N,CXCL3,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CXCL3_relaxed_model_4_multimer_v3_pred_4.pdb,-13.6,1.10E-10,-5.79224
SARS-CoV-2-BA.4-N_IL-18BP,SARS-CoV-2-BA.4-N,IL-18BP,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IL-18BP_relaxed_model_3_multimer_v3_pred_4.pdb,-11.6,3.20E-09,-14.8292
SARS-CoV-2-WA1-N_IL-10,SARS-CoV-2-WA1-N,IL-10,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_IL-10_relaxed_model_1_multimer_v3_pred_4.pdb,-11.4,4.10E-09,2.80242
SARS-CoV-2-BQ.1-N_CCL3,SARS-CoV-2-BQ.1-N,CCL3,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL3_relaxed_model_4_multimer_v3_pred_3.pdb,-11.8,2.30E-09,-15.7414
SARS-CoV-2-BA.2-N_CCL4,SARS-CoV-2-BA.2-N,CCL4,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL4_relaxed_model_4_multimer_v3_pred_1.pdb,-13.5,1.20E-10,-23.2707
SARS-CoV-2-B.1.1-N_CXCL14,SARS-CoV-2-B.1.1-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL14_relaxed_model_3_multimer_v3_pred_1.pdb,-12.8,3.80E-10,12.1712
SARS-CoV-N_CXCL5,SARS-CoV-N,CXCL5,./best_AF2_and_GDock/SARS-CoV-N_CXCL5_relaxed_model_5_multimer_v3_pred_0.pdb,-10,4.40E-08,-3.77964
SARS-CoV-2-B.1.1-N_CXCL12beta,SARS-CoV-2-B.1.1-N,CXCL12beta,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL12beta_relaxed_model_3_multimer_v3_pred_3.pdb,-9.2,1.70E-07,2.92406
SARS-CoV-2-WA1-N_CXCL8,SARS-CoV-2-WA1-N,CXCL8,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL8_relaxed_model_2_multimer_v3_pred_3.pdb,-11.5,3.80E-09,-7.27943
SARS-CoV-2-B.1.351-N_CCL18,SARS-CoV-2-B.1.351-N,CCL18,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL18_relaxed_model_3_multimer_v3_pred_3.pdb,-11,8.00E-09,-9.38329
RaTG13-N_IL-18BP,RaTG13-N,IL-18BP,./best_AF2_and_GDock/RaTG13-N_IL-18BP_relaxed_model_3_multimer_v3_pred_2.pdb,-10.3,2.90E-08,-12.5839
RaTG13-N_IL-17a,RaTG13-N,IL-17a,./best_AF2_and_GDock/RaTG13-N_IL-17a_relaxed_model_3_multimer_v3_pred_2.pdb,-12.6,5.50E-10,21.9477
SARS-CoV-2-B.1.1.7-N_CCL4L1,SARS-CoV-2-B.1.1.7-N,CCL4L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL4L1_relaxed_model_4_multimer_v3_pred_1.pdb,-17,3.40E-13,-3.30731
SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL4,SARS-CoV-2-B.1.617.2-DeltaA-N,CXCL4,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CXCL4_relaxed_model_3_multimer_v3_pred_0.pdb,-9.5,1.10E-07,3.42676
SARS-CoV-2-B.1.351-N_CCL3L1,SARS-CoV-2-B.1.351-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL3L1_relaxed_model_4_multimer_v3_pred_0.pdb,-16.4,9.80E-13,-15.4764
SARS-CoV-2-B.1.1.529-N_CCL20,SARS-CoV-2-B.1.1.529-N,CCL20,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL20_relaxed_model_1_multimer_v3_pred_0.pdb,-11.6,3.10E-09,-5.86273
BANAL-20-52-N_CCL14,BANAL-20-52-N,CCL14,./best_AF2_and_GDock/BANAL-20-52-N_CCL14_relaxed_model_4_multimer_v3_pred_4.pdb,-18.1,5.70E-14,13.5247
SARS-CoV-2-BA.4-N_IFNgamma,SARS-CoV-2-BA.4-N,IFNgamma,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_IFNgamma_relaxed_model_5_multimer_v3_pred_3.pdb,-11.6,3.10E-09,-3.35797
SARS-CoV-2-BA.1.1-N_CCL4L1,SARS-CoV-2-BA.1.1-N,CCL4L1,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL4L1_relaxed_model_4_multimer_v3_pred_1.pdb,-10.7,1.50E-08,6.70421
SARS-CoV-2-B.1.617.2-DeltaA-N_IFNgamma,SARS-CoV-2-B.1.617.2-DeltaA-N,IFNgamma,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_IFNgamma_relaxed_model_5_multimer_v3_pred_4.pdb,-8.9,3.00E-07,-2.01574
RaTG13-N_CCL2,RaTG13-N,CCL2,./best_AF2_and_GDock/RaTG13-N_CCL2_relaxed_model_1_multimer_v3_pred_3.pdb,-9.4,1.30E-07,-12.3534
MERS-CoV-N_CCL25,MERS-CoV-N,CCL25,./best_AF2_and_GDock/MERS-CoV-N_CCL25_relaxed_model_2_multimer_v3_pred_1.pdb,-13.8,8.10E-11,-7.33167
SARS-CoV-2-BA.2-N_CXCL14,SARS-CoV-2-BA.2-N,CXCL14,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CXCL14_relaxed_model_4_multimer_v3_pred_3.pdb,-8.6,4.80E-07,-2.77351
