experiment_name,n_protein,cytokine_protein,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M,intraclashes_group1,intraclashes_group2,foldx_deltaG_kcalpermol,stability_group1,stability_group2
SARS-CoV-N__CXCL13,SARS-CoV-N,CXCL13,4,./results/SARS-CoV-N__CXCL13/run1/structures/it1/water/SARS-CoV-N__CXCL13_8w.pdb,6,-103.15,9.27,-73.09,7.92,-300.53,23.16,2742.66,188,4.279,1.97,47.5,0,0,0,2619.615,177.003,145.345,25.343,-14.3,3.1E-11,23.3804,5.43364,-18.361,278.628,27.3588
SARS-CoV-2-XBB-N__CCL3L1,SARS-CoV-2-XBB-N,CCL3L1,1,./results/SARS-CoV-2-XBB-N__CCL3L1/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL3L1_157w.pdb,33,-107.44,13.52,-71.13,12.79,-363.09,58.04,2903.54,187.47,9.754,4.624,46.97,0,0,0,2700.528,187.731,156.356,25.132,-13.6,1E-10,24.4439,6.42099,-17.4733,267.145,15.4415
SARS-CoV-2-B.1.1-N__CXCL8,SARS-CoV-2-B.1.1-N,CXCL8,1,./results/SARS-CoV-2-B.1.1-N__CXCL8/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL8_89w.pdb,4,-70.95,17.27,-49.41,10.42,-215.36,76.18,3354.32,184.66,10.96,1.424,51,0,0,0,2023.897,353.495,253.905,43.316,-14.1,4.4E-11,28.9587,6.56875,-17.4533,277.781,29.7952
SARS-CoV-2-WA1-N__CCL20,SARS-CoV-2-WA1-N,CCL20,5,./results/SARS-CoV-2-WA1-N__CCL20/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL20_24w.pdb,4,-108.21,14.23,-71.32,7.11,-368.83,78.92,3351.68,188.88,11.906,3.909,54.75,0,0,0,2727.225,228.128,201.985,34.602,-13.1,2.4E-10,23.4588,2.5237,-17.3782,241.914,7.66238
SARS-CoV-2-BA.2-N__IL-1beta,SARS-CoV-2-BA.2-N,IL-1beta,2,./results/SARS-CoV-2-BA.2-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IL-1beta_72w.pdb,8,-108.67,12.2,-67.64,7.44,-410.3,55.42,3179.85,181.77,22.582,3.526,56.12,0,0,0,2423.336,228.889,190.867,17.652,-14,5.4E-11,24.7788,9.18638,-16.7082,270.689,39.745
SARS-CoV-2-B.1.1-N__CCL4L1,SARS-CoV-2-B.1.1-N,CCL4L1,3,./results/SARS-CoV-2-B.1.1-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL4L1_198w.pdb,6,-105.21,19.21,-78.55,13.73,-266.52,66.36,2775.38,149.6,5.385,2.727,43.33,0,0,0,2395.945,309.755,151.066,32.479,-14.6,1.8E-11,24.0028,1.83536,-16.5714,246.407,28.547
SARS-CoV-2-WA1-N__CXCL11,SARS-CoV-2-WA1-N,CXCL11,2,./results/SARS-CoV-2-WA1-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL11_51w.pdb,10,-110.31,10.45,-86.1,8.32,-242.1,28.76,3077.27,137.48,14.401,6.438,49.1,0,0,0,2608.599,163.604,187.607,20.28,-15,1.1E-11,20.3169,4.66732,-16.4546,257.551,46.4457
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL14,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14_107w.pdb,7,-116.19,15.62,-79.29,13.92,-369,36.92,2893.11,60.62,9.378,3.019,48.71,0,0,0,2929.81,224.257,145.601,20.271,-14,5.5E-11,32.8862,4.83849,-16.4039,286.316,19.5691
SARS-CoV-2-BA.1.1-N__CCL3,SARS-CoV-2-BA.1.1-N,CCL3,3,./results/SARS-CoV-2-BA.1.1-N__CCL3/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL3_109w.pdb,7,-120.88,7.96,-80.39,7.83,-404.8,26.05,2756.03,276.22,23.519,4.699,44,0,0,0,2672.274,124.907,137.768,27.565,-14.9,1.2E-11,20.6855,2.04288,-16.3196,271.369,6.22989
SARS-CoV-2-WA1-N__CCL4,SARS-CoV-2-WA1-N,CCL4,4,./results/SARS-CoV-2-WA1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL4_180w.pdb,6,-97.6,13.9,-69.25,12.55,-283.45,20.96,3329.89,105.2,7.423,2.463,52.33,0,0,0,2427.348,276.435,214.47,19.558,-13.3,1.8E-10,19.9833,6.10584,-16.2251,247.819,20.459
SARS-CoV-2-BQ.1-N__IL-17a,SARS-CoV-2-BQ.1-N,IL-17a,5,./results/SARS-CoV-2-BQ.1-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-BQ.1-N__IL-17a_42w.pdb,4,-106.25,14.28,-74.63,11.93,-316.15,51.31,3127.8,265.79,11.453,4.496,51.5,0,0,0,2938.515,380.938,186.371,27.863,-12.9,3.3E-10,28.6503,8.77257,-16.2204,265.743,64.733
SARS-CoV-2-WA1-N__IFNlambda1,SARS-CoV-2-WA1-N,IFNlambda1,1,./results/SARS-CoV-2-WA1-N__IFNlambda1/run1/structures/it1/water/SARS-CoV-2-WA1-N__IFNlambda1_25w.pdb,5,-120.89,12.44,-96.5,8.66,-243.93,38.86,3324.57,183.23,2.718,1.374,57.8,0,0,0,3141.538,188.571,189.892,31.347,-11.5,3.8E-09,23.2371,12.5386,-15.5905,262.608,37.8763
SARS-CoV-2-B.1.351-N__IL-17a,SARS-CoV-2-B.1.351-N,IL-17a,5,./results/SARS-CoV-2-B.1.351-N__IL-17a/run1/structures/it1/water/SARS-CoV-2-B.1.351-N__IL-17a_12w.pdb,4,-126.75,9.22,-105.78,9.2,-209.75,21.19,3132.3,253.92,-3.207,7.526,54.5,0,0,0,3558.715,274.122,162.292,37.136,-15.9,2.1E-12,32.9984,11.6534,-15.3016,276.998,62.1265
SARS-CoV-2-B.1.1.7-N__IL-6Ralpha,SARS-CoV-2-B.1.1.7-N,IL-6Ralpha,1,./results/SARS-CoV-2-B.1.1.7-N__IL-6Ralpha/run1/structures/it1/water/SARS-CoV-2-B.1.1.7-N__IL-6Ralpha_57w.pdb,3,-196.32,11.27,-145.51,8.71,-508.1,40.79,5133.34,194.73,18,3.86,85,0,0,0,4691.41,115.881,284.202,26.721,-19.4,5.9E-15,22.3723,46.7282,-15.2975,279.784,242.361
