experiment	model	iptm+ptm	gdock	n_protein	cytokine	wet_hit	total_score	negative_energy
SARS-CoV-2-B.1.351-N_CCL3L1	model_4_multimer_v3_pred_4	0.743981356089629	0.560899749181728	SARS-CoV-2-B.1.351-N	CCL3L1	False	1.304881105271357	True
SARS-CoV-2-B.1.351-N_CCL3L1	model_4_multimer_v3_pred_3	0.741409229883002	0.627111103926704	SARS-CoV-2-B.1.351-N	CCL3L1	False	1.3685203338097058	True
SARS-CoV-2-B.1.351-N_CCL3L1	model_4_multimer_v3_pred_2	0.73844978275137	0.548711187960204	SARS-CoV-2-B.1.351-N	CCL3L1	False	1.2871609707115739	True
SARS-CoV-2-B.1.351-N_CCL3L1	model_4_multimer_v3_pred_0	0.737618056975413	0.927849004531926	SARS-CoV-2-B.1.351-N	CCL3L1	False	1.665467061507339	True
SARS-CoV-2-B.1.1.7-N_IFNA2	model_4_multimer_v3_pred_3	0.736368530765406	0.989623111553564	SARS-CoV-2-B.1.1.7-N	IFNA2	False	1.72599164231897	True
RaTG13-N_IL-1beta	model_4_multimer_v3_pred_3	0.734421487723894	0.832031609805373	RaTG13-N	IL-1beta	False	1.566453097529267	True
MERS-CoV-N_CXCL6	model_4_multimer_v3_pred_1	0.733434805304289	0.952134377067894	MERS-CoV-N	CXCL6	False	1.685569182372183	True
SARS-CoV-2-B.1.1.529-N_CCL3L1	model_4_multimer_v3_pred_0	0.732954293996535	0.639413166578596	SARS-CoV-2-B.1.1.529-N	CCL3L1	False	1.372367460575131	True
SARS-CoV-2-P.1-N_CCL3L1	model_4_multimer_v3_pred_2	0.732572663575084	0.659810978902077	SARS-CoV-2-P.1-N	CCL3L1	False	1.392383642477161	True
SARS-CoV-2-B.1.1.7-N_CCL3L1	model_4_multimer_v3_pred_2	0.731422564946163	0.820020209434079	SARS-CoV-2-B.1.1.7-N	CCL3L1	False	1.551442774380242	True
SARS-CoV-2-B.1.351-N_CCL3L1	model_4_multimer_v3_pred_1	0.73079618981919	0.604683647797361	SARS-CoV-2-B.1.351-N	CCL3L1	False	1.335479837616551	True
SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3L1	model_4_multimer_v3_pred_0	0.730738948137426	0.571871444163388	SARS-CoV-2-B.1.617.2-DeltaA-N	CCL3L1	False	1.302610392300814	True
SARS-CoV-2-BA.2-N_CCL3L1	model_4_multimer_v3_pred_1	0.730662932735631	0.718712070848176	SARS-CoV-2-BA.2-N	CCL3L1	False	1.4493750035838069	True
SARS-CoV-2-XBB-N_CCL3L1	model_4_multimer_v3_pred_1	0.730606072191796	0.774912387165072	SARS-CoV-2-XBB-N	CCL3L1	False	1.505518459356868	True
SARS-CoV-2-B.1.1.529-N_CCL3L1	model_4_multimer_v3_pred_2	0.730331990151606	0.606670882387479	SARS-CoV-2-B.1.1.529-N	CCL3L1	False	1.337002872539085	True
SARS-CoV-2-XBB-N_CCL3L1	model_4_multimer_v3_pred_4	0.729529572704117	0.861402373187193	SARS-CoV-2-XBB-N	CCL3L1	False	1.59093194589131	True
SARS-CoV-2-B.1.1.7-N_IFNA2	model_4_multimer_v3_pred_0	0.728016115524651	0.97739159595395	SARS-CoV-2-B.1.1.7-N	IFNA2	False	1.705407711478601	True
