,n_protein,cytokine_protein,experiment_name,best_cluster,best_pdb_path,Nstruc,Evdw+0.1Eelec,Evdw+0.1Eelec_sd,Evdw,Evdw_sd,Eelec,Eelec_sd,Eair,Eair_sd,Edesolv,Edesolv_sd,AIRviol,AIRviol_sd,dihedviol,dihedviol_sd,BSA,BSA_sd,haddock-score,haddock-score_sd,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M
0,MERS-CoV-N,CXCL13,MERS-CoV-N__CXCL13,9,./results/MERS-CoV-N__CXCL13/run1/structures/it1/water/MERS-CoV-N__CXCL13_189w.pdb,5,-101.1,7.23,-82.01,8.3,-190.84,20.63,2886.61,126.14,21.087,4.422,44.0,0.0,0.0,0.0,3339.466,145.01,189.566,15.573,-12.2,1.1e-09
1,SARS-CoV-2-WA1-N,TNFalpha,SARS-CoV-2-WA1-N__TNFalpha,2,./results/SARS-CoV-2-WA1-N__TNFalpha/run1/structures/it1/water/SARS-CoV-2-WA1-N__TNFalpha_13w.pdb,4,-93.89,3.75,-57.47,2.82,-364.27,60.37,3430.49,97.33,25.587,1.777,57.75,0.0,0.0,0.0,2631.465,80.327,238.313,11.278,-12.3,8.8e-10
2,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL23,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL23,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL23/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL23_21w.pdb,4,-86.64,8.57,-58.68,9.62,-279.63,54.54,3215.57,187.82,9.601,5.035,56.0,0.0,0.0,0.0,2820.03,255.084,216.552,23.278,-13.2,2e-10
3,SARS-CoV-2-BA.4-N,CXCL1,SARS-CoV-2-BA.4-N__CXCL1,6,./results/SARS-CoV-2-BA.4-N__CXCL1/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CXCL1_196w.pdb,4,-108.49,6.28,-85.76,9.95,-227.24,46.16,2767.68,134.25,9.428,5.744,44.0,0.0,0.0,0.0,2848.113,62.044,154.986,18.058,-13.4,1.6e-10
4,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL14,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14_107w.pdb,7,-116.19,15.62,-79.29,13.92,-369.0,36.92,2893.11,60.62,9.378,3.019,48.71,0.0,0.0,0.0,2929.81,224.257,145.601,20.271,-14.0,5.5e-11
5,OC43-N,CXCL14,OC43-N__CXCL14,4,./results/OC43-N__CXCL14/run1/structures/it1/water/OC43-N__CXCL14_123w.pdb,4,-88.3,7.37,-74.33,6.5,-139.77,13.79,3207.05,148.89,3.577,4.378,51.25,0.0,0.0,0.0,2570.48,184.278,222.003,22.313,-11.6,3.1e-09
6,SARS-CoV-N,CCL3L1,SARS-CoV-N__CCL3L1,5,./results/SARS-CoV-N__CCL3L1/run1/structures/it1/water/SARS-CoV-N__CCL3L1_101w.pdb,6,-85.77,7.63,-65.49,5.8,-202.82,32.07,3052.53,52.41,6.045,3.392,49.17,0.0,0.0,0.0,1872.058,63.207,205.245,10.857,-10.1,4.2e-08
7,SARS-CoV-2-BA.4-N,CCL25,SARS-CoV-2-BA.4-N__CCL25,18,./results/SARS-CoV-2-BA.4-N__CCL25/run1/structures/it1/water/SARS-CoV-2-BA.4-N__CCL25_9w.pdb,2,-98.97,20.82,-65.95,22.0,-330.15,11.73,3058.05,135.7,10.762,2.999,50.0,0.0,0.0,0.0,2401.315,546.025,184.584,36.22,-13.1,2.6e-10
8,MERS-CoV-N,CCL22,MERS-CoV-N__CCL22,1,./results/MERS-CoV-N__CCL22/run1/structures/it1/water/MERS-CoV-N__CCL22_18w.pdb,10,-103.2,9.68,-86.18,7.54,-170.25,35.56,3243.48,196.8,12.299,2.047,47.0,0.0,0.0,0.0,2649.839,109.714,216.419,24.226,-11.8,2.1e-09
9,SARS-CoV-2-XBB-N,IL6,SARS-CoV-2-XBB-N__IL6,3,./results/SARS-CoV-2-XBB-N__IL6/run1/structures/it1/water/SARS-CoV-2-XBB-N__IL6_7w.pdb,4,-79.77,11.64,-57.26,11.24,-225.16,14.78,3532.18,295.64,18.073,1.486,59.5,0.0,0.0,0.0,2550.87,257.871,269.003,39.749,-10.6,1.7e-08
