,experiment_name,n_protein,cytokine_protein,best_pdb_path,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M
0,SARS-CoV-2-BQ.1-N_CXCL10,SARS-CoV-2-BQ.1-N,CXCL10,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_CXCL10/relaxed_model_1_multimer_v3_pred_0.pdb,-10.8,1.2e-08
1,SARS-CoV-2-BA.1.1-N_CCL22,SARS-CoV-2-BA.1.1-N,CCL22,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.1.1-N_CCL22/relaxed_model_1_multimer_v3_pred_0.pdb,-10.4,2.2e-08
2,SARS-CoV-2-XBB-N_CCL25,SARS-CoV-2-XBB-N,CCL25,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CCL25/relaxed_model_1_multimer_v3_pred_0.pdb,-12.7,4.8e-10
3,SARS-CoV-2-WA1-N_CCL16,SARS-CoV-2-WA1-N,CCL16,/AF23_complexes/complex_pdbs/SARS-CoV-2-WA1-N_CCL16/relaxed_model_1_multimer_v3_pred_0.pdb,-11.2,6.5e-09
4,SARS-CoV-2-BQ.1-N_IFNlambda1,SARS-CoV-2-BQ.1-N,IFNlambda1,/AF23_complexes/complex_pdbs/SARS-CoV-2-BQ.1-N_IFNlambda1/relaxed_model_1_multimer_v3_pred_0.pdb,-7.9,1.7e-06
5,SARS-CoV-2-BA.1.1-N_CCL14,SARS-CoV-2-BA.1.1-N,CCL14,/AF23_complexes/complex_pdbs/SARS-CoV-2-BA.1.1-N_CCL14/relaxed_model_1_multimer_v3_pred_0.pdb,-9.7,7.7e-08
6,SARS-CoV-2-XBB-N_CCL27,SARS-CoV-2-XBB-N,CCL27,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_CCL27/relaxed_model_1_multimer_v3_pred_0.pdb,-9.2,1.7e-07
7,SARS-CoV-2-XBB-N_IL-12p70,SARS-CoV-2-XBB-N,IL-12p70,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_IL-12p70/relaxed_model_1_multimer_v3_pred_0.pdb,-18.7,1.8e-14
8,SARS-CoV-2-XBB-N_IFNomega,SARS-CoV-2-XBB-N,IFNomega,/AF23_complexes/complex_pdbs/SARS-CoV-2-XBB-N_IFNomega/relaxed_model_1_multimer_v3_pred_0.pdb,-16.6,7e-13
9,BANAL-20-52-N_IL-18,BANAL-20-52-N,IL-18,/AF23_complexes/complex_pdbs/BANAL-20-52-N_IL-18/relaxed_model_1_multimer_v3_pred_0.pdb,-9.8,6e-08
