experiment_name,best_model_pred,iptm+ptm,gdock,total_score,negative_energy,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,af2_foldx_dG,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,wet_hit,n_protein,cytokine_protein,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M
SARS-CoV-2-B.1.351-N__CCL3L1,model_4_multimer_v3_pred_0,0.737618057,0.927849004531926,1.66546706150734,True,A,B,15.0002,2.68762,-22.6341,-11.3276,-10.8415,-28.2773,-8.27487,47.6024,-34.2092,4.62328,12.5707,8.46069,0,0,0,0.304779,9.22959,-1.43933,0,-8.88E-16,-1.82613,0,0,2.384,489,84,1,0,1,False,SARS-CoV-2-B.1.351-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.351-N_CCL3L1_relaxed_model_4_multimer_v3_pred_0.pdb,-16.4,9.8E-13
SARS-CoV-2-B.1.1.7-N__CCL3L1,model_4_multimer_v3_pred_3,0.707073085,0.88451720910566,1.59159029459078,True,A,B,10.9287,3.488,-19.6368,-8.98438,-11.0383,-24.8363,-7.75571,40.4986,-30.6856,4.09393,12.6349,7.55783,0,0,0,0.245302,5.91903,0.0327746,0,0,-1.69125,0,0.291417,2.384,489,78,0,0,0,False,SARS-CoV-2-B.1.1.7-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.7-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-16.1,1.5E-12
RaTG13-N__CCL3L1,model_4_multimer_v3_pred_3,0.720103459,0.869277980268888,1.58938143966702,True,A,B,12.9973,2.25652,-21.0628,-9.7913,-10.2005,-26.5581,-8.95298,43.7492,-32.4106,3.35426,12.6502,7.97863,0,0,0,0.602198,5.9741,0.0606186,0,0,-1.82265,0,0.278246,2.384,489,86,0,0,0,False,RaTG13-N,CCL3L1,./best_AF2_and_GDock/RaTG13-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-17,3.2E-13
MERS-CoV-N__CCL3L1,model_4_multimer_v3_pred_4,0.311383285,0.969569060097852,1.28095234515697,True,A,B,18.4655,4.04827,-2.92121,-6.43904,-5.8347,-25.0896,-2.42619,41.2943,-31.7219,8.04965,12.048,8.6657,0,0,0,0.0777111,8.6471,-0.843746,0,-8.88E-16,-0.86305,0,0.161598,2.384,481,71,4,2,2,False,MERS-CoV-N,CCL3L1,./best_AF2_and_GDock/MERS-CoV-N_CCL3L1_relaxed_model_4_multimer_v3_pred_4.pdb,-12.7,4.7E-10
SARS-CoV-2-B.1.1.529-N__CCL3L1,model_4_multimer_v3_pred_3,0.7030114,0.789923143676513,1.49293454393034,True,A,B,14.1225,4.28353,-26.9821,-10.5752,-11.1859,-26.1014,-8.91089,44.0918,-31.6426,1.6857,10.9587,6.03951,0,0,0,0.319221,5.43768,0.0404017,0,0,-1.97538,0,0.274019,2.384,486,80,0,0,0,False,SARS-CoV-2-B.1.1.529-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1.529-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-16.4,1E-12
SARS-CoV-2-P.1-N__CCL3L1,model_4_multimer_v3_pred_3,0.700271929,0.945212085470661,1.6454840144405,True,A,B,16.4773,2.0469,-24.2114,-12.1641,-12.3614,-29.1349,-7.24357,45.6723,-36.5337,1.92867,12.9074,13.5322,0,0,0,0.561999,8.49416,0.0604613,0,0,-1.49975,0,0.0629377,2.384,489,82,2,0,2,False,SARS-CoV-2-P.1-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-P.1-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-15.7,3.1E-12
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL3L1,model_4_multimer_v3_pred_1,0.718244999,0.858825212200393,1.57707021165371,True,A,B,11.5809,4.69119,-18.1645,-6.91975,-10.6985,-24.3012,-8.27275,38.4166,-29.5536,3.06763,12.3502,8.77202,0,0,0,0.548647,4.2264,0.0772566,0,0,-1.69192,0,0.0408085,2.384,489,73,0,0,0,False,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL3L1_relaxed_model_4_multimer_v3_pred_1.pdb,-14.6,2E-11
SARS-CoV-2-BA.2-N__CCL3L1,model_4_multimer_v3_pred_0,0.724564311,0.934035732106283,1.65860004314306,True,A,B,15.7888,3.89358,-27.4578,-13.346,-11.9828,-28.9466,-8.10301,44.9365,-35.7079,4.60358,12.8532,9.48782,0,0,0,0.393416,14.7211,0.0955029,0,0,-1.78406,0,0.0425125,2.384,486,82,4,0,4,False,SARS-CoV-2-BA.2-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_CCL3L1_relaxed_model_4_multimer_v3_pred_0.pdb,-16.7,5.3E-13
SARS-CoV-2-XBB-N__CCL3L1,model_4_multimer_v3_pred_4,0.729529573,0.861402373187193,1.59093194589131,True,A,B,13.2994,4.11828,-8.85706,-5.20578,-11.8673,-28.0316,-8.52893,48.029,-33.7084,8.97034,14.5101,8.27094,0,0,0,0.735418,10.0099,-0.465108,0,0,-1.60072,0,0.0349358,2.384,486,71,4,4,3,False,SARS-CoV-2-XBB-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL3L1_relaxed_model_4_multimer_v3_pred_4.pdb,-14.1,4.2E-11
SARS-CoV-2-BA.1.1-N__CCL3L1,model_4_multimer_v3_pred_3,0.707011816,0.829018875922874,1.53603069168864,True,A,B,12.7228,2.03539,-24.9617,-9.98651,-9.01875,-24.0801,-8.79812,39.2973,-29.7805,0.351944,10.8206,7.68931,0,0,0,0.119135,5.0619,0.027495,0,0,-1.85818,0,0.254686,2.384,486,74,0,0,0,False,SARS-CoV-2-BA.1.1-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-14.8,1.4E-11
BANAL-20-52-N__CCL3L1,model_4_multimer_v3_pred_3,0.723539236,0.813948668673961,1.53748790506422,True,A,B,17.1103,1.10632,-21.3341,-7.03477,-10.7835,-24.7235,-8.99527,39.3138,-30.7419,3.87841,11.6599,8.15048,0,0,0,0.265913,3.43875,-0.605458,0,0,-1.75407,0,0.0358708,2.384,489,72,0,0,0,False,BANAL-20-52-N,CCL3L1,./best_AF2_and_GDock/BANAL-20-52-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-15.5,4.5E-12
SARS-CoV-2-B.1.1-N__CCL3L1,model_4_multimer_v3_pred_3,0.716850447,0.937678116464477,1.65452856385532,True,A,B,14.0362,3.04879,-26.239,-13.1035,-12.5976,-28.3606,-9.75641,47.3179,-34.2071,4.54683,12.7752,8.19331,0,0,0,0.560491,8.77943,0.0604961,0,0,-1.9883,0,0.320313,2.384,489,79,1,0,1,False,SARS-CoV-2-B.1.1-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL3L1_relaxed_model_4_multimer_v3_pred_3.pdb,-17.3,2.1E-13
SARS-CoV-2-BQ.1-N__CCL3L1,model_4_multimer_v3_pred_0,0.720511501,0.838021294468749,1.55853279525726,True,A,B,14.5163,2.07169,-24.4974,-10.8336,-11.4257,-26.6417,-7.73229,44.8498,-32.4825,1.78308,12.3746,6.82792,0,0,0,0.231196,5.49166,0.0349161,0,0,-1.5524,0,0.0692106,2.384,486,77,0,0,0,False,SARS-CoV-2-BQ.1-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-BQ.1-N_CCL3L1_relaxed_model_4_multimer_v3_pred_0.pdb,-16.1,1.5E-12
SARS-CoV-2-BA.4-N__CCL3L1,model_4_multimer_v3_pred_0,0.693540146,0.889213712266311,1.58275385796196,True,A,B,17.772,4.06051,-20.5423,-9.70469,-12.7212,-27.7439,-8.22467,45.3478,-33.7163,4.76179,13.7296,8.83986,0,0,0,0.239465,6.51257,0.0614981,0,8.88E-16,-1.68724,0,0.275735,2.384,486,79,0,0,0,False,SARS-CoV-2-BA.4-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-BA.4-N_CCL3L1_relaxed_model_4_multimer_v3_pred_0.pdb,-15.8,2.4E-12
SARS-CoV-2-WA1-N__CCL3L1,model_4_multimer_v3_pred_2,0.70177792,0.734479605349734,1.43625752513051,True,A,B,17.4057,3.2785,-21.9284,-6.64417,-12.6009,-25.0261,-8.63321,41.1092,-30.6904,2.52209,12.6079,6.64931,0,0,0,0.581001,3.9082,-0.416788,0,0,-1.59933,0,0.212913,2.384,489,75,0,0,0,False,SARS-CoV-2-WA1-N,CCL3L1,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL3L1_relaxed_model_4_multimer_v3_pred_2.pdb,-14.8,1.5E-11
