protein_A,protein_B,experiment,model,iptm+ptm,Interaction Energy,Pdb,Group1,Group2,IntraclashesGroup1,IntraclashesGroup2,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,wet_hit,is_max
OC43-N,CXCL11,OC43-N_CXCL11,model_3_multimer_v3_pred_0,0.620925821,-46.5821,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/OC43-N_CXCL11/relaxed_model_3_multimer_v3_pred_0_Repair.pdb,A,B,27.5692,2.4573,-9.9928,-8.48688,-40.4593,-5.62007,44.96,-59.023,2.71356,22.4838,11.162,0,0,0,0.0544101,4.6449,-1.76864,0,0,-2.60514,0,0,2.384,521,97,0,0,0,TRUE,TRUE
SARS-CoV-2-XBB-N,IL-35,SARS-CoV-2-XBB-N_IL-35,model_1_multimer_v3_pred_3,0.661327758,-41.1097,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-XBB-N_IL-35/relaxed_model_1_multimer_v3_pred_3_Repair.pdb,A,B,27.944,3.78392,-2.71422,-9.88807,-25.7543,-2.43424,21.6479,-42.3601,0.6103,19.1347,0.806824,0,0,0,0.065422,4.98775,0.700223,0,0,-0.971768,0,0.0475773,2.384,732,72,0,0,0,FALSE,TRUE
SARS-CoV-2-XBB-N,IL-27,SARS-CoV-2-XBB-N_IL-27,model_2_multimer_v3_pred_1,0.440204022,-40.6491,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-XBB-N_IL-27/relaxed_model_2_multimer_v3_pred_1_Repair.pdb,B,C,12.61,8.39,-7.54116,-14.4946,-27.7387,-4.58031,29.0821,-38.5589,1.97461,17.2683,6.41837,0,0,0,0.139739,4.69421,-0.907199,0,0,-1.76523,0,0.053782,2.384,840,69,0,0,0,FALSE,TRUE
OC43-N,IL-27,OC43-N_IL-27,model_1_multimer_v3_pred_0,0.650575534,-40.1523,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/OC43-N_IL-27/relaxed_model_1_multimer_v3_pred_0_Repair.pdb,B,C,9.26,6.83,-6.39335,-11.6699,-26.6356,-4.80163,26.3961,-38.1397,1.68744,16.425,5.91497,0,0,0,0.0618982,4.555,-1.06667,0,0,-1.93728,0,0.00629951,2.384,872,65,0,0,0,FALSE,TRUE
SARS-CoV-N,IL-27,SARS-CoV-N_IL-27,model_2_multimer_v3_pred_2,0.440960895,-40.0567,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-N_IL-27/relaxed_model_2_multimer_v3_pred_2_Repair.pdb,B,C,6.45,7.47,-6.68653,-12.9596,-27.084,-4.77037,28.4486,-37.8533,1.79199,15.9837,5.68053,0,0,0,0.112578,4.45548,-0.906592,0,0,-1.86392,0,0.0501901,2.384,846,70,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.617.2-DeltaA-N,IL-27,SARS-CoV-2-B.1.617.2-DeltaA-N_IL-27,model_2_multimer_v3_pred_2,0.43859232,-39.9782,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.617.2-DeltaA-N_IL-27/relaxed_model_2_multimer_v3_pred_2_Repair.pdb,B,C,8.7,8.69,-7.3453,-12.6797,-27.3749,-4.60514,28.7412,-38.4364,1.8846,16.003,6.50551,0,0,0,0.106451,4.44011,-1.00045,0,0,-1.83059,0,0.0535717,2.384,843,70,0,0,0,FALSE,TRUE
BANAL-20-52-N,IL-27,BANAL-20-52-N_IL-27,model_2_multimer_v3_pred_3,0.435588189,-39.8957,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/BANAL-20-52-N_IL-27/relaxed_model_2_multimer_v3_pred_3_Repair.pdb,B,C,8.57,9.6,-7.09385,-12.7192,-25.7659,-3.48858,26.3503,-36.4256,2.027,13.5225,6.30063,0,0,0,0.0291818,3.95346,-0.950312,0,0,-1.73053,0,0.0487437,2.384,843,66,0,0,0,FALSE,TRUE
SARS-CoV-2-BQ.1-N,IL-27,SARS-CoV-2-BQ.1-N_IL-27,model_2_multimer_v3_pred_4,0.444626307,-39.7427,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BQ.1-N_IL-27/relaxed_model_2_multimer_v3_pred_4_Repair.pdb,B,C,9.03,7.66,-7.28136,-12.4191,-26.7823,-4.56707,27.733,-37.5002,2.06583,15.4483,6.21832,0,0,0,0.036899,4.70984,-0.934208,0,0,-1.81707,0,0.0563422,2.384,840,68,0,0,0,FALSE,TRUE
SARS-CoV-2-BA.1.1-N,IL-27,SARS-CoV-2-BA.1.1-N_IL-27,model_2_multimer_v3_pred_3,0.442855384,-39.2721,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.1.1-N_IL-27/relaxed_model_2_multimer_v3_pred_3_Repair.pdb,B,C,10.34,6.69,-6.97703,-12.4962,-27.2933,-4.72916,28.4672,-38.345,1.95737,15.9461,6.69181,0,0,0,0.0761348,4.68364,-0.916065,0,0,-1.71633,0,0.0623815,2.384,840,72,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.351-N,IL-27,SARS-CoV-2-B.1.351-N_IL-27,model_2_multimer_v3_pred_1,0.4430118,-39.1301,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.351-N_IL-27/relaxed_model_2_multimer_v3_pred_1_Repair.pdb,B,C,6.66,8.24,-6.64483,-12.1295,-26.9184,-4.4426,28.2078,-37.6874,1.54435,15.8168,5.64284,0,0,0,0.100004,4.09657,-0.966283,0,0,-1.69483,0,0.0419402,2.384,843,69,0,0,0,FALSE,TRUE
RaTG13-N,IL-27,RaTG13-N_IL-27,model_2_multimer_v3_pred_2,0.443354142,-38.8191,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/RaTG13-N_IL-27/relaxed_model_2_multimer_v3_pred_2_Repair.pdb,B,C,6.45,6.59,-6.98985,-12.4065,-27.0157,-4.73965,28.1862,-37.7444,2.19187,15.8311,6.54081,0,0,0,0.0490454,4.55584,-0.95139,0,0,-1.81777,0,0.0471385,2.384,843,69,0,0,0,FALSE,TRUE
SARS-CoV-2-BA.2-N,IL-27,SARS-CoV-2-BA.2-N_IL-27,model_2_multimer_v3_pred_0,0.441944589,-38.2656,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.2-N_IL-27/relaxed_model_2_multimer_v3_pred_0_Repair.pdb,B,C,8.79,7.25,-6.44149,-11.7895,-27.7083,-4.69907,29.3168,-38.5741,2.06167,15.8809,6.14674,0,0,0,0.224604,4.41287,-0.878374,0,0,-1.86167,0,0.0561846,2.384,840,69,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.7-N,IL-35,SARS-CoV-2-B.1.1.7-N_IL-35,model_1_multimer_v3_pred_1,0.669118451,-37.8032,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.7-N_IL-35/relaxed_model_1_multimer_v3_pred_1_Repair.pdb,A,B,19.7994,3.3922,-4.58401,-8.27614,-27.6403,-0.369269,25.5945,-45.5065,2.90337,17.7473,2.43949,0,0,0,0.340756,6.0573,-0.254065,0,0,-0.222125,0,0.0237799,2.384,735,78,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.529-N,IFNA2,SARS-CoV-2-B.1.1.529-N_IFNA2,model_4_multimer_v3_pred_2,0.708622057,-37.1478,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.529-N_IFNA2/relaxed_model_4_multimer_v3_pred_2_Repair.pdb,A,B,18.5473,6.34438,-6.33191,-14.6608,-28.9779,-2.94484,31.5943,-43.6153,1.63033,23.0731,3.9539,0,0,0,0.14952,4.16856,0.0289329,0,0,-1.16087,0,0.113826,2.384,581,90,0,0,0,FALSE,TRUE
SARS-CoV-N,IL-35,SARS-CoV-N_IL-35,model_5_multimer_v3_pred_1,0.599066181,-36.9446,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-N_IL-35/relaxed_model_5_multimer_v3_pred_1_Repair.pdb,A,B,27.8248,4.63265,-2.54196,-7.33801,-20.3058,-2.265,14.5063,-35.4447,1.70216,15.2129,0.161112,0,0,0,0.31532,4.92746,0.246719,0,0,-1.1936,0,0,2.384,738,62,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.529-N,IL-27,SARS-CoV-2-B.1.1.529-N_IL-27,model_2_multimer_v3_pred_3,0.445261611,-36.7759,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.529-N_IL-27/relaxed_model_2_multimer_v3_pred_3_Repair.pdb,B,C,6.87,6.76,-5.53917,-11.319,-27.5664,-4.61391,28.7231,-38.4929,1.62894,16.4334,6.51612,0,0,0,0.0932947,4.29135,-0.910718,0,0,-1.78415,0,0.0555739,2.384,840,72,0,0,0,FALSE,TRUE
SARS-CoV-2-BA.4-N,IL-27,SARS-CoV-2-BA.4-N_IL-27,model_2_multimer_v3_pred_3,0.441028402,-36.3852,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-BA.4-N_IL-27/relaxed_model_2_multimer_v3_pred_3_Repair.pdb,B,C,6.64,8.24,-6.47211,-12.6116,-27.3143,-4.71997,28.501,-38.0742,2.83004,16.9371,7.01667,0,0,0,0.241405,4.40759,-0.98277,0,0,-1.79815,0,0.0617909,2.384,840,69,0,0,0,FALSE,TRUE
SARS-CoV-2-B.1.1.7-N,IL-27,SARS-CoV-2-B.1.1.7-N_IL-27,model_2_multimer_v3_pred_1,0.44155873,-36.3357,/home/gridsan/AV32546/CompBio_shared/FoldX/workingdir_AM/foldx_repair_out/SARS-CoV-2-B.1.1.7-N_IL-27/relaxed_model_2_multimer_v3_pred_1_Repair.pdb,B,C,5.95,8.66,-6.14424,-10.1519,-27.3012,-4.3789,28.6128,-38.0942,2.70055,15.307,5.62515,0,0,0,0.102152,4.33962,-0.915909,0,0,-1.76835,0,0.0714166,2.384,843,70,0,0,0,FALSE,TRUE
