experiment_name,n_protein,cytokine_protein,haddock_best_cluster,haddock_best_pdb_path,haddock_Nstruc,haddock_Evdw+0.1Eelec,haddock_Evdw+0.1Eelec_sd,haddock_Evdw,haddock_Evdw_sd,haddock_Eelec,haddock_Eelec_sd,haddock_Eair,Eair_sd,haddock_Edesolv,haddock_Edesolv_sd,haddock_AIRviol,haddock_AIRviol_sd,haddock_dihedviol,haddock_dihedviol_sd,haddock_BSA,haddock_BSA_sd,haddock-score,haddock-score_sd,haddock_prodigy_deltaG_kcalpermol,haddock_prodigy_dissociation_constant_M,haddock_foldx_intraclashes_group1,haddock_foldx_intraclashes_group2,haddock_foldx_deltaG_kcalpermol,haddock_foldx_stability_group1,haddock_foldx_stability_group2,cytokine_class,dist_from_SARS-CoV-2-WA1-N_A,af2_experiment_name,af2_best_model_pred,af2_iptm+ptm,af2_gdock,af2_total_score,af2_negative_energy,af2_Group1,af2_Group2,af2_IntraclashesGroup1,af2_IntraclashesGroup2,af2_foldx_dG,af2_Backbone Hbond,af2_Sidechain Hbond,af2_Van der Waals,af2_Electrostatics,af2_Solvation Polar,af2_Solvation Hydrophobic,af2_Van der Waals clashes,af2_entropy sidechain,af2_entropy mainchain,af2_sloop_entropy,af2_mloop_entropy,af2_cis_bond,af2_torsional clash,af2_backbone clash,af2_helix dipole,af2_water bridge,af2_disulfide,af2_electrostatic kon,af2_partial covalent bonds,af2_energy Ionisation,af2_Entropy Complex,af2_Number of Residues,af2_Interface Residues,af2_Interface Residues Clashing,af2_Interface Residues VdW Clashing,af2_Interface Residues BB Clashing,af2_wet_hit,af2_best_pdb_path,af2_prodigy_deltaG_kcalpermol,af2_prodigy_dissociation_constant_M,wa1_wet_hit,oc43_wet_hit,wet_hit
SARS-CoV-N__CXCL13,SARS-CoV-N,CXCL13,4,./results/SARS-CoV-N__CXCL13/run1/structures/it1/water/SARS-CoV-N__CXCL13_8w.pdb,6,-103.15,9.27,-73.09,7.92,-300.53,23.16,2742.66,188,4.279,1.97,47.5,0,0,0,2619.615,177.003,145.345,25.343,-14.3,3.1e-11,23.3804,5.43364,-18.361,278.628,27.3588,α-Chemokine,0.29716239543411815,SARS-CoV-N__CXCL13,model_3_multimer_v3_pred_1,0.302801354,0.957196041064883,1.25999739467241,TRUE,A,B,27.8788,5.84472,-6.45492,-5.2824,-7.26089,-16.681,-3.6882,26.1231,-19.8519,1.64753,11.356,7.51115,0,0,0,0.383634,1.57009,-0.169401,0,0,-0.542547,0,0,2.384,509,46,0,0,0,FALSE,./best_AF2_and_GDock/SARS-CoV-N_CXCL13_relaxed_model_3_multimer_v3_pred_1.pdb,-10.5,2.1e-8,FALSE,TRUE,HCoV-OC43 Wet Hit
SARS-CoV-2-XBB-N__CCL3L1,SARS-CoV-2-XBB-N,CCL3L1,1,./results/SARS-CoV-2-XBB-N__CCL3L1/run1/structures/it1/water/SARS-CoV-2-XBB-N__CCL3L1_157w.pdb,33,-107.44,13.52,-71.13,12.79,-363.09,58.04,2903.54,187.47,9.754,4.624,46.97,0,0,0,2700.528,187.731,156.356,25.132,-13.6,1e-10,24.4439,6.42099,-17.4733,267.145,15.4415,β-Chemokine,0.10963225241337865,SARS-CoV-2-XBB-N__CCL3L1,model_4_multimer_v3_pred_4,0.729529573,0.861402373187193,1.59093194589131,TRUE,A,B,13.2994,4.11828,-8.85706,-5.20578,-11.8673,-28.0316,-8.52893,48.029,-33.7084,8.97034,14.5101,8.27094,0,0,0,0.735418,10.0099,-0.465108,0,0,-1.60072,0,0.0349358,2.384,486,71,4,4,3,FALSE,./best_AF2_and_GDock/SARS-CoV-2-XBB-N_CCL3L1_relaxed_model_4_multimer_v3_pred_4.pdb,-14.1,4.2e-11,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.1-N__CXCL8,SARS-CoV-2-B.1.1-N,CXCL8,1,./results/SARS-CoV-2-B.1.1-N__CXCL8/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CXCL8_89w.pdb,4,-70.95,17.27,-49.41,10.42,-215.36,76.18,3354.32,184.66,10.96,1.424,51,0,0,0,2023.897,353.495,253.905,43.316,-14.1,4.4e-11,28.9587,6.56875,-17.4533,277.781,29.7952,α-Chemokine,0.06908885358534668,SARS-CoV-2-B.1.1-N__CXCL8,model_2_multimer_v3_pred_3,0.320508582,0.981401016600853,1.3019095985162,TRUE,A,B,19.2454,10.1581,-11.2806,-7.67526,-6.3749,-21.2972,-3.77386,28.9679,-28.8188,7.81367,14.6672,5.09408,0,0,0,1.34324,1.76329,-0.370834,0,0,-0.906596,0,0.0508181,2.384,496,60,3,3,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CXCL8_relaxed_model_2_multimer_v3_pred_3.pdb,-12.3,9e-10,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-WA1-N__CCL20,SARS-CoV-2-WA1-N,CCL20,5,./results/SARS-CoV-2-WA1-N__CCL20/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL20_24w.pdb,4,-108.21,14.23,-71.32,7.11,-368.83,78.92,3351.68,188.88,11.906,3.909,54.75,0,0,0,2727.225,228.128,201.985,34.602,-13.1,2.4e-10,23.4588,2.5237,-17.3782,241.914,7.66238,β-Chemokine,0,SARS-CoV-2-WA1-N__CCL20,model_2_multimer_v3_pred_2,0.23300155,0.965099303158124,1.19810085317707,FALSE,A,B,24.1247,9.7958,21.7231,-4.27132,-6.90904,-21.2939,-1.3705,35.8985,-25.0253,22.5906,9.99875,11.0885,0,0,0,1.46961,9.15828,-0.0648168,0,0,-0.391445,0,0.00342591,2.384,489,57,7,7,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL20_relaxed_model_2_multimer_v3_pred_2.pdb,-12.8,4.4e-10,FALSE,TRUE,HCoV-OC43 Wet Hit
SARS-CoV-2-BA.2-N__IL-1beta,SARS-CoV-2-BA.2-N,IL-1beta,2,./results/SARS-CoV-2-BA.2-N__IL-1beta/run1/structures/it1/water/SARS-CoV-2-BA.2-N__IL-1beta_72w.pdb,8,-108.67,12.2,-67.64,7.44,-410.3,55.42,3179.85,181.77,22.582,3.526,56.12,0,0,0,2423.336,228.889,190.867,17.652,-14,5.4e-11,24.7788,9.18638,-16.7082,270.689,39.745,Interleukin,0.09805806756909202,SARS-CoV-2-BA.2-N__IL-1beta,model_5_multimer_v3_pred_0,0.201008046,0.965618550300717,1.16662659636575,TRUE,A,B,32.461,3.90494,-6.13264,-4.60103,-2.33529,-10.5431,-0.259794,13.2741,-14.6534,0.316904,6.45798,6.42141,0,0,0,0.0653882,2.43604,0.020477,0,0,-0.296356,0,-4.16e-17,2.384,569,41,0,0,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BA.2-N_IL-1beta_relaxed_model_5_multimer_v3_pred_0.pdb,-7.6,2.8e-6,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-B.1.1-N__CCL4L1,SARS-CoV-2-B.1.1-N,CCL4L1,3,./results/SARS-CoV-2-B.1.1-N__CCL4L1/run1/structures/it1/water/SARS-CoV-2-B.1.1-N__CCL4L1_198w.pdb,6,-105.21,19.21,-78.55,13.73,-266.52,66.36,2775.38,149.6,5.385,2.727,43.33,0,0,0,2395.945,309.755,151.066,32.479,-14.6,1.8e-11,24.0028,1.83536,-16.5714,246.407,28.547,β-Chemokine,0.06908885358534668,SARS-CoV-2-B.1.1-N__CCL4L1,model_3_multimer_v3_pred_2,0.254432675,0.915488205719927,1.16992088071953,FALSE,A,B,37.7792,11.4244,6.88001,-4.57636,-7.57372,-29.0113,-2.64249,45.5605,-36.5318,10.4409,12.6785,17.0114,0,0,0,2.25267,10.4318,0.0214691,0,0,-0.749709,0,0,2.384,460,62,5,4,2,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.1-N_CCL4L1_relaxed_model_3_multimer_v3_pred_2.pdb,-14,5e-11,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-WA1-N__CXCL11,SARS-CoV-2-WA1-N,CXCL11,2,./results/SARS-CoV-2-WA1-N__CXCL11/run1/structures/it1/water/SARS-CoV-2-WA1-N__CXCL11_51w.pdb,10,-110.31,10.45,-86.1,8.32,-242.1,28.76,3077.27,137.48,14.401,6.438,49.1,0,0,0,2608.599,163.604,187.607,20.28,-15,1.1e-11,20.3169,4.66732,-16.4546,257.551,46.4457,α-Chemokine,0,SARS-CoV-2-WA1-N__CXCL11,model_3_multimer_v3_pred_4,0.343431513,0.960036452709573,1.30346796588323,TRUE,A,B,34.5257,5.07785,-6.2216,-4.02982,-7.26639,-16.6468,-2.02506,24.6241,-23.0101,3.95347,12.8402,5.50608,0,0,0,0.65951,3.03794,-0.416567,0,0,-0.410222,0,0,2.384,492,55,1,1,0,TRUE,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CXCL11_relaxed_model_3_multimer_v3_pred_4.pdb,-9.9,5.6e-8,TRUE,TRUE,SARS-CoV-2 Wet Hit
SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14,SARS-CoV-2-B.1.617.2-DeltaA-N,CCL14,1,./results/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14/run1/structures/it1/water/SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14_107w.pdb,7,-116.19,15.62,-79.29,13.92,-369,36.92,2893.11,60.62,9.378,3.019,48.71,0,0,0,2929.81,224.257,145.601,20.271,-14,5.5e-11,32.8862,4.83849,-16.4039,286.316,19.5691,β-Chemokine,0.08461621909897774,SARS-CoV-2-B.1.617.2-DeltaA-N__CCL14,model_3_multimer_v3_pred_3,0.246484694,0.970801295434095,1.21728598914832,FALSE,A,B,29.1319,2.48567,11.1596,-3.76526,-9.20692,-20.8963,-1.87883,33.7968,-26.2478,15.7838,12.3877,10.9891,0,0,0,0.699777,13.2223,1.11e-16,0,0,-0.596321,0,0.0939915,2.384,493,60,8,7,4,FALSE,./best_AF2_and_GDock/SARS-CoV-2-B.1.617.2-DeltaA-N_CCL14_relaxed_model_3_multimer_v3_pred_3.pdb,-10.6,1.6e-8,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-BA.1.1-N__CCL3,SARS-CoV-2-BA.1.1-N,CCL3,3,./results/SARS-CoV-2-BA.1.1-N__CCL3/run1/structures/it1/water/SARS-CoV-2-BA.1.1-N__CCL3_109w.pdb,7,-120.88,7.96,-80.39,7.83,-404.8,26.05,2756.03,276.22,23.519,4.699,44,0,0,0,2672.274,124.907,137.768,27.565,-14.9,1.2e-11,20.6855,2.04288,-16.3196,271.369,6.22989,β-Chemokine,0.09805806756909202,SARS-CoV-2-BA.1.1-N__CCL3,model_4_multimer_v3_pred_4,0.679762549,0.702962260188575,1.38272480895458,TRUE,A,B,15.1912,2.26998,-15.8987,-4.89345,-9.51446,-21.266,-8.84515,35.4118,-23.7107,3.00526,8.6415,7.14963,0,0,0,0.139164,3.6889,-0.285667,0,0,-1.73069,0,0,2.384,482,70,0,0,0,FALSE,./best_AF2_and_GDock/SARS-CoV-2-BA.1.1-N_CCL3_relaxed_model_4_multimer_v3_pred_4.pdb,-12.7,4.7e-10,FALSE,FALSE,Not Wet Hit
SARS-CoV-2-WA1-N__CCL4,SARS-CoV-2-WA1-N,CCL4,4,./results/SARS-CoV-2-WA1-N__CCL4/run1/structures/it1/water/SARS-CoV-2-WA1-N__CCL4_180w.pdb,6,-97.6,13.9,-69.25,12.55,-283.45,20.96,3329.89,105.2,7.423,2.463,52.33,0,0,0,2427.348,276.435,214.47,19.558,-13.3,1.8e-10,19.9833,6.10584,-16.2251,247.819,20.459,β-Chemokine,0,SARS-CoV-2-WA1-N__CCL4,model_4_multimer_v3_pred_0,0.533652684,0.902076566895974,1.435729251341,TRUE,A,B,18.3888,3.61085,-17.8981,-5.68247,-8.06611,-24.1243,-7.93199,38.4278,-29.1496,3.5024,11.0405,6.00328,0,0,0,0.319519,8.28832,0.0533042,0,8.88e-16,-2.29039,0,0,2.384,488,70,1,0,1,FALSE,./best_AF2_and_GDock/SARS-CoV-2-WA1-N_CCL4_relaxed_model_4_multimer_v3_pred_0.pdb,-13.3,1.9e-10,FALSE,FALSE,Not Wet Hit
